ICD_CODE	ICD_NAME	IS_CURRENT_ICD	IP_USAGE	OP_USAGE	AVG_USAGE	IS_NEC	SNOMED_CID	SNOMED_FSN	IS_1-1MAP	CORE_USAGE	IN_CORE
185	Malignant neoplasm of prostate	1	0.24826	0.82335	0.535805	0	399068003	Malignant tumor of prostate (disorder)	1	0.2915	1
518.81	Acute respiratory failure	1	1.03558	0.01745	0.526515	0	65710008	Acute respiratory failure (disorder)	1	0.0009	1
276.51	Dehydration	1	0.90459	0.11995	0.51227	0	34095006	Dehydration (disorder)	1	0.0478	1
428.23	Acute on chronic systolic heart failure	1	0.90805	0.00988	0.458965	0	443253003	Acute on chronic systolic heart failure (disorder)	1	NULL	0
435.9	Unspecified transient cerebral ischemia	1	0.75457	0.14879	0.45168	0	266257000	Transient ischemic attack (disorder)	1	0.1023	1
244.9	Unspecified acquired hypothyroidism	1	0.02025	0.87624	0.448245	0	40930008	Hypothyroidism (disorder)	1	0.8226	1
272.0	Pure hypercholesterolemia	1	0.00013	0.88307	0.4416	0	267432004	Pure hypercholesterolemia (disorder)	1	0.0305	1
789.00	Abdominal pain, unspecified site	1	0.10988	0.75424	0.43206	0	21522001	Abdominal pain (finding)	1	0.6117	1
724.2	Lumbago	1	0.07047	0.76572	0.418095	0	279039007	Low back pain (finding)	1	0.5862	1
414.00	Coronary atherosclerosis of unspecified type of vessel, native or graft	1	0.23386	0.53919	0.386525	0	443502000	Atherosclerosis of coronary artery (disorder)	1	0.0244	1
820.21	Closed fracture of intertrochanteric section of neck of femur	1	0.74743	0.00852	0.377975	0	89820008	Closed intertrochanteric fracture (disorder)	1	0.0236	1
174.9	Malignant neoplasm of breast (female), unspecified	1	0.08764	0.63419	0.360915	0	372064008	Malignant neoplasm of female breast (disorder)	1	0.0622	1
578.9	Hemorrhage of gastrointestinal tract, unspecified	1	0.62431	0.09672	0.360515	0	74474003	Gastrointestinal hemorrhage (disorder)	1	0.084	1
729.5	Pain in limb	1	0.02457	0.64602	0.335295	0	90834002	Pain in limb (finding)	1	0.0233	1
428.33	Acute on chronic diastolic heart failure	1	0.63647	0.0042	0.320335	0	443344007	Acute on chronic diastolic heart failure (disorder)	1	NULL	0
724.02	Spinal stenosis, lumbar region, without neurogenic claudication	1	0.43372	0.19284	0.31328	0	18347007	Spinal stenosis of lumbar region (disorder)	1	0.064	1
295.70	Schizoaffective disorder, unspecified	1	0.39881	0.22771	0.31326	0	68890003	Schizoaffective disorder (disorder)	1	0.0224	1
562.11	Diverticulitis of colon (without mention of hemorrhage)	1	0.5503	0.06032	0.30531	0	111359004	Diverticulitis of colon (disorder)	1	0.0293	1
250.02	Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled	1	0.13064	0.46957	0.300105	0	443694000	Type II diabetes mellitus uncontrolled (finding)	1	0.0833	1
577.0	Acute pancreatitis	1	0.5612	0.03612	0.29866	0	197456007	Acute pancreatitis (disorder)	1	0.0342	1
786.2	Cough	1	0.00515	0.56672	0.285935	0	49727002	Cough (finding)	1	0.3422	1
493.22	Chronic obstructive asthma with (acute) exacerbation	1	0.55921	0.01196	0.285585	0	442025000	Acute exacerbation of chronic asthmatic bronchitis (disorder)	1	NULL	0
427.81	Sinoatrial node dysfunction	1	0.45993	0.09614	0.278035	0	60423000	Sinus node dysfunction (disorder)	1	0.004	1
780.4	Dizziness and giddiness	1	0.14734	0.40184	0.27459	0	271789005	Dizziness and giddiness (finding)	1	0.0061	1
786.05	Shortness of breath	1	0.05139	0.48576	0.268575	0	267036007	Dyspnea (finding)	1	0.2275	1
276.1	Hyposmolality and/or hyponatremia	1	0.43155	0.10036	0.265955	0	267447008	Hypo-osmolality and or hyponatremia (disorder)	1	0.0006	1
331.0	Alzheimer's disease	1	0.43605	0.09103	0.26354	0	26929004	Alzheimer's disease (disorder)	1	0.0657	1
008.45	Intestinal infection due to Clostridium difficile	1	0.49389	0.0205	0.257195	0	240357000	Clostridial enteric disease (disorder)	1	NULL	0
560.9	Unspecified intestinal obstruction	1	0.48528	0.01735	0.251315	0	81060008	Intestinal obstruction (disorder)	1	0.0196	1
466.0	Acute bronchitis	1	0.24727	0.23114	0.239205	0	10509002	Acute bronchitis (disorder)	1	0.2682	1
518.84	Acute and chronic respiratory failure	1	0.45868	0.00234	0.23051	0	67905004	Acute-on-chronic respiratory failure (disorder)	1	0.0004	1
280.9	Iron deficiency anemia, unspecified	1	0.16841	0.28061	0.22451	0	87522002	Iron deficiency anemia (disorder)	1	0.1816	1
787.91	Diarrhea	1	0.09815	0.35055	0.22435	0	62315008	Diarrhea (finding)	1	0.1982	1
784.0	Headache	1	0.04525	0.39567	0.22046	0	25064002	Headache (finding)	1	0.4587	1
820.8	Closed fracture of unspecified part of neck of femur	1	0.39145	0.02906	0.210255	0	359820003	Closed fracture of neck of femur (disorder)	1	0.0133	1
714.0	Rheumatoid arthritis	1	0.0472	0.37257	0.209885	0	69896004	Rheumatoid arthritis (disorder)	1	0.1384	1
285.21	Anemia in chronic kidney disease	1	0.05472	0.36358	0.20915	0	49708008	Anemia of chronic renal failure (disorder)	1	0.0064	1
424.1	Aortic valve disorders	1	0.28162	0.13449	0.208055	0	8722008	Aortic valve disorder (disorder)	1	0.0168	1
211.3	Benign neoplasm of colon	1	0.10932	0.29859	0.203955	0	92065004	Benign neoplasm of colon (disorder)	1	0.0084	1
441.4	Abdominal aneurysm without mention of rupture	1	0.24216	0.16179	0.201975	0	75878002	Abdominal aortic aneurysm without rupture (disorder)	1	0.0158	1
724.5	Backache, unspecified	1	0.03954	0.36427	0.201905	0	161891005	Backache (finding)	1	0.6269	1
345.90	Epilepsy, unspecified, without mention of intractable epilepsy	1	0.27729	0.11472	0.196005	0	84757009	Epilepsy (disorder)	1	0.0013	1
733.00	Osteoporosis, unspecified	1	0.00164	0.39027	0.195955	0	64859006	Osteoporosis (disorder)	1	0.3965	1
722.10	Displacement of lumbar intervertebral disc without myelopathy	1	0.27072	0.11588	0.1933	0	20021007	Displacement of lumbar intervertebral disc without myelopathy (disorder)	1	0.0055	1
780.97	Altered mental status	1	0.24575	0.1327	0.189225	0	419284004	Altered mental status (finding)	1	0.0363	1
530.81	Esophageal reflux	1	0.16663	0.20626	0.186445	0	235595009	Gastroesophageal reflux disease (disorder)	1	1.3691	1
719.45	Pain in joint, pelvic region and thigh	1	0.03413	0.33706	0.185595	0	267952008	Arthralgia of the pelvic region and thigh (finding)	1	0.0095	1
721.3	Lumbosacral spondylosis without myelopathy	1	0.16884	0.19547	0.182155	0	48210000	Lumbosacral spondylosis without myelopathy (disorder)	1	0.0045	1
458.0	Orthostatic hypotension	1	0.3318	0.02366	0.17773	0	28651003	Orthostatic hypotension (disorder)	1	0.0331	1
782.3	Edema	1	0.02725	0.31897	0.17311	0	267038008	Edema (finding)	1	0.1275	1
403.91	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease	1	0.27335	0.07276	0.173055	0	49220004	Hypertensive renal failure (disorder)	1	0.0158	1
511.9	Unspecified pleural effusion	1	0.22417	0.12002	0.172095	0	60046008	Pleural effusion (disorder)	1	0.0441	1
562.12	Diverticulosis of colon with hemorrhage	1	0.34144	0.00275	0.172095	0	190191000119107	Hemorrhage of colon due to diverticulosis (disorder)	1	NULL	0
719.41	Pain in joint, shoulder region	1	0.01116	0.33197	0.171565	0	267949000	Shoulder joint pain (finding)	1	0.0566	1
038.42	Septicemia due to escherichia coli [E. coli]	1	0.33928	0.00124	0.17026	0	447899008	Sepsis caused by Escherichia coli (disorder)	1	0.0051	1
276.7	Hyperpotassemia	1	0.20107	0.13854	0.169805	0	14140009	Hyperkalemia (disorder)	1	0.0561	1
427.32	Atrial flutter	1	0.248	0.07833	0.163165	0	5370000	Atrial flutter (disorder)	1	0.0361	1
585.3	Chronic kidney disease, Stage III (moderate)	1	0.00117	0.31564	0.158405	0	433144002	Chronic kidney disease stage 3 (disorder)	1	0.061	1
574.00	Calculus of gallbladder with acute cholecystitis, without mention of obstruction	1	0.30783	0.00837	0.1581	0	197377009	Gallbladder calculus with acute cholecystitis and no obstruction (disorder)	1	0.003	1
V04.81	Need for prophylactic vaccination and inoculation against influenza	1	NULL	0.31597	0.157985	0	185903001	Needs influenza immunization (finding)	1	0.0602	1
592.0	Calculus of kidney	1	0.08842	0.22731	0.157865	0	95570007	Kidney stone (disorder)	1	0.264	1
733.13	Pathologic fracture of vertebrae	1	0.26513	0.04824	0.156685	0	274146004	Pathological fracture of vertebra (disorder)	1	0.0018	1
162.3	Malignant neoplasm of upper lobe, bronchus or lung	1	0.21478	0.08868	0.15173	0	269464000	Malignant neoplasm of upper lobe, bronchus or lung (disorder)	1	NULL	0
295.30	Paranoid type schizophrenia, unspecified	1	0.14712	0.15369	0.150405	0	64905009	Paranoid schizophrenia (disorder)	1	0.0421	1
780.60	Fever, unspecified	1	0.1598	0.13772	0.14876	0	386661006	Fever (finding)	1	0.1475	1
599.70	Hematuria, unspecified	1	0.02673	0.26883	0.14778	0	53298000	Hematuria syndrome (disorder)	1	0.1674	1
042	Human immunodeficiency virus [HIV] disease	1	0.09781	0.19739	0.1476	0	86406008	Human immunodeficiency virus infection (disorder)	1	0.0431	1
298.9	Unspecified psychosis	1	0.18666	0.10648	0.14657	0	69322001	Psychotic disorder (disorder)	1	0.0381	1
272.2	Mixed hyperlipidemia	1	NULL	0.29067	0.145335	0	267434003	Mixed hyperlipidemia (disorder)	1	0.0393	1
428.21	Acute systolic heart failure	1	0.28707	0.00258	0.144825	0	443254009	Acute systolic heart failure (disorder)	1	NULL	0
443.9	Peripheral vascular disease, unspecified	1	0.07497	0.21414	0.144555	0	400047006	Peripheral vascular disease (disorder)	1	0.1516	1
296.33	Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior	1	0.21223	0.0733	0.142765	0	36474008	Severe recurrent major depression without psychotic features (disorder)	1	0.0193	1
428.43	Acute on chronic combined systolic and diastolic heart failure	1	0.28084	0.00331	0.142075	0	153951000119103	Acute on chronic combined systolic and diastolic heart failure (disorder)	1	NULL	0
203.00	Multiple myeloma, without mention of having achieved remission	1	0.05654	0.22593	0.141235	0	109989006	Multiple myeloma (disorder)	1	0.0552	1
787.20	Dysphagia, unspecified	1	0.03011	0.25074	0.140425	0	40739000	Dysphagia (disorder)	1	0.1322	1
431	Intracerebral hemorrhage	1	0.26501	0.0149	0.139955	0	274100004	Cerebral hemorrhage (disorder)	1	0.0341	1
434.11	Cerebral embolism with cerebral infarction	1	0.27396	0.00594	0.13995	0	195190007	Cerebral infarction due to embolism of cerebral arteries (disorder)	1	0.0043	1
723.1	Cervicalgia	1	0.01276	0.26323	0.137995	0	81680005	Neck pain (finding)	1	0.2383	1
592.1	Calculus of ureter	1	0.17879	0.09612	0.137455	0	31054009	Ureteric stone (disorder)	1	0.0128	1
427.1	Paroxysmal ventricular tachycardia	1	0.23256	0.04041	0.136485	0	66657009	Paroxysmal ventricular tachycardia (disorder)	1	0.0102	1
733.90	Disorder of bone and cartilage, unspecified	1	0.00584	0.26637	0.136105	0	77881008	Osteochondropathy (disorder)	1	NULL	0
564.00	Constipation, unspecified	1	0.09984	0.16885	0.134345	0	14760008	Constipation (finding)	1	0.2869	1
276.8	Hypopotassemia	1	0.10499	0.16157	0.13328	0	43339004	Hypokalemia (disorder)	1	0.0715	1
428.31	Acute diastolic heart failure	1	0.26016	0.00343	0.131795	0	443343001	Acute diastolic heart failure (disorder)	1	NULL	0
578.1	Blood in stool	1	0.19843	0.06333	0.13088	0	405729008	Hematochezia (finding)	1	0.0367	1
366.16	Senile nuclear sclerosis	1	0.0003	0.25429	0.127295	0	193589009	Nuclear senile cataract (disorder)	1	0.0527	1
715.95	Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh	1	0.19441	0.05744	0.125925	0	445478004	Degenerative joint disease of pelvis (disorder)	1	0.0004	1
593.9	Unspecified disorder of kidney and ureter	1	0.03941	0.20876	0.124085	0	443820000	Disorder of kidney and/or ureter (disorder)	1	0.005	1
490	Bronchitis, not specified as acute or chronic	1	0.08375	0.16416	0.123955	0	32398004	Bronchitis (disorder)	1	0.2092	1
787.01	Nausea with vomiting	1	0.11516	0.1289	0.12203	0	16932000	Nausea and vomiting (disorder)	1	0.086	1
327.23	Obstructive sleep apnea (adult)(pediatric)	1	0.01765	0.22574	0.121695	0	78275009	Obstructive sleep apnea syndrome (disorder)	1	0.262	1
493.92	Asthma, unspecified type, with (acute) exacerbation	1	0.19138	0.05167	0.121525	0	281239006	Exacerbation of asthma (disorder)	1	0.0723	1
153.9	Malignant neoplasm of colon, unspecified site	1	0.03928	0.20089	0.120085	0	363406005	Malignant neoplasm of colon (disorder)	1	0.126	1
250.60	Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled	1	0.14254	0.09417	0.118355	0	421326000	Disorder of nervous system due to type 2 diabetes mellitus (disorder)	1	0.0402	1
459.81	Venous (peripheral) insufficiency, unspecified	1	0.06831	0.16256	0.115435	0	20696009	Peripheral venous insufficiency (disorder)	1	0.0567	1
788.1	Dysuria	1	0.00065	0.22919	0.11492	0	49650001	Dysuria (finding)	1	0.058	1
560.1	Paralytic ileus	1	0.22261	0.00544	0.114025	0	55525008	Paralytic ileus (disorder)	1	0.0028	1
585.9	Chronic kidney disease, unspecified	1	0.00493	0.22283	0.11388	0	90688005	Chronic renal failure syndrome (disorder)	1	0.1695	1
458.9	Hypotension, unspecified	1	0.17472	0.03783	0.106275	0	45007003	Low blood pressure (disorder)	1	0.0283	1
789.06	Abdominal pain, epigastric	1	0.06965	0.14042	0.105035	0	79922009	Epigastric pain (finding)	1	0.0928	1
805.4	Closed fracture of lumbar vertebra without mention of spinal cord injury	1	0.16901	0.04062	0.104815	0	17463000	Closed fracture of lumbar vertebra without spinal cord injury (disorder)	1	0.0038	1
562.10	Diverticulosis of colon (without mention of hemorrhage)	1	0.051	0.1585	0.10475	0	398050005	Diverticular disease of colon (disorder)	1	0.2056	1
808.2	Closed fracture of pubis	1	0.19743	0.01147	0.10445	0	208164008	Closed fracture pubis (disorder)	1	0.0024	1
790.93	Elevated prostate specific antigen [PSA]	1	0.00017	0.20576	0.102965	0	396152005	Raised prostate specific antigen (finding)	1	0.11	1
611.72	Lump or mass in breast	1	0.00182	0.20409	0.102955	0	89164003	Breast lump (finding)	1	0.14	1
465.9	Acute upper respiratory infections of unspecified site	1	0.03837	0.1668	0.102585	0	54398005	Acute upper respiratory infection (disorder)	1	0.0305	1
403.90	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified	1	0.08583	0.11858	0.102205	0	38481006	Hypertensive renal disease (disorder)	1	0.0096	1
296.80	Bipolar disorder, unspecified	1	0.11619	0.08638	0.101285	0	13746004	Bipolar disorder (disorder)	1	0.1027	1
183.0	Malignant neoplasm of ovary	1	0.06878	0.13319	0.100985	0	363443007	Malignant tumor of ovary (disorder)	1	0.0349	1
781.2	Abnormality of gait	1	0.06982	0.12879	0.099305	0	22325002	Abnormal gait (finding)	1	0.0336	1
426.0	Atrioventricular block, complete	1	0.16599	0.03138	0.098685	0	27885002	Complete atrioventricular block (disorder)	1	0.0109	1
280.0	Iron deficiency anemia secondary to blood loss (chronic)	1	0.1492	0.04803	0.098615	0	413533008	Anemia due to chronic blood loss (disorder)	1	0.014	1
996.64	Infection and inflammatory reaction due to indwelling urinary catheter	1	0.19345	0.00261	0.09803	0	473092007	Infection and inflammation associated with indwelling urinary catheter (disorder)	1	NULL	0
569.3	Hemorrhage of rectum and anus	1	0.10512	0.09039	0.097755	0	266464001	Hemorrhage of rectum and anus (disorder)	1	0.0019	1
531.40	Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction	1	0.19371	0.00159	0.09765	0	76078009	Chronic gastric ulcer with hemorrhage but without obstruction (disorder)	1	NULL	0
784.7	Epistaxis	1	0.07203	0.12196	0.096995	0	249366005	Bleeding from nose (finding)	1	0.0529	1
296.30	Major depressive affective disorder, recurrent episode, unspecified	1	0.10685	0.08342	0.095135	0	66344007	Recurrent major depression (disorder)	1	0.0155	1
515	Postinflammatory pulmonary fibrosis	1	0.11723	0.07207	0.09465	0	266368002	Post-inflammatory pulmonary fibrosis (disorder)	1	NULL	0
493.90	Asthma, unspecified type, unspecified	1	0.03976	0.14912	0.09444	0	55570000	Asthma without status asthmaticus (disorder)	1	0.0099	1
188.9	Malignant neoplasm of bladder, part unspecified	1	0.0565	0.13219	0.094345	0	399326009	Malignant tumor of urinary bladder (disorder)	1	0.0358	1
424.0	Mitral valve disorders	1	0.09625	0.09198	0.094115	0	11851006	Mitral valve disorder (disorder)	1	0.014	1
340	Multiple sclerosis	1	0.0587	0.12715	0.092925	0	24700007	Multiple sclerosis (disorder)	1	0.0615	1
571.5	Cirrhosis of liver without mention of alcohol	1	0.09392	0.08875	0.091335	0	266468003	Cirrhosis - non-alcoholic (disorder)	1	0.0152	1
428.30	Diastolic heart failure, unspecified	1	0.17321	0.00758	0.090395	0	418304008	Diastolic heart failure (disorder)	1	0.0035	1
182.0	Malignant neoplasm of corpus uteri, except isthmus	1	0.10482	0.0759	0.09036	0	188189001	Malignant neoplasm of corpus uteri, excluding isthmus (disorder)	1	0.0034	1
250.70	Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled	1	0.13968	0.03955	0.089615	0	421895002	Peripheral vascular disorder due to diabetes mellitus (disorder)	1	0.0005	1
366.9	Unspecified cataract	1	0.00069	0.17769	0.08919	0	193570009	Cataract (disorder)	1	0.1746	1
920	Contusion of face, scalp, and neck except eye(s)	1	0.03223	0.14589	0.08906	0	269214009	Contusion of face, scalp and neck, excluding eye(s) (disorder)	1	0.0008	1
282.62	Hb-SS disease with crisis	1	0.15595	0.0217	0.088825	0	417425009	Hemoglobin SS disease with crisis (disorder)	1	0.0016	1
295.34	Paranoid type schizophrenia, chronic with acute exacerbation	1	0.16802	0.006	0.08701	0	191555002	Acute exacerbation of chronic paranoid schizophrenia (disorder)	1	NULL	0
198.5	Secondary malignant neoplasm of bone and bone marrow	1	0.11866	0.05519	0.086925	0	94222008	Secondary malignant neoplasm of bone (disorder)	1	0.0463	1
238.75	Myelodysplastic syndrome, unspecified	1	0.04508	0.12869	0.086885	0	109995007	Myelodysplastic syndrome (disorder)	1	0.0194	1
785.1	Palpitations	1	0.03504	0.13796	0.0865	0	80313002	Palpitations (finding)	1	0.1609	1
332.0	Paralysis agitans	1	0.07415	0.09471	0.08443	0	49049000	Parkinson's disease (disorder)	1	0.0836	1
V42.0	Kidney replaced by transplant	1	NULL	0.16864	0.08432	0	161665007	History of renal transplant (situation)	1	0.0067	1
278.01	Morbid obesity	1	0.13298	0.03558	0.08428	0	238136002	Morbid obesity (disorder)	1	0.08	1
295.90	Unspecified schizophrenia, unspecified	1	0.05598	0.11178	0.08388	0	58214004	Schizophrenia (disorder)	1	0.0406	1
198.3	Secondary malignant neoplasm of brain and spinal cord	1	0.14258	0.02409	0.083335	0	188462001	Secondary malignant neoplasm of brain and spinal cord (disorder)	1	0.0031	1
682.2	Cellulitis and abscess of trunk	1	0.11844	0.04806	0.08325	0	200655000	Cellulitis and abscess of trunk (disorder)	1	0.004	1
038.0	Streptococcal septicemia	1	0.16361	0.00084	0.082225	0	448418006	Sepsis caused by Streptococcus (disorder)	1	0.0006	1
959.01	Head injury, unspecified	1	0.02526	0.13908	0.08217	0	82271004	Injury of head (disorder)	1	0.048	1
996.81	Complications of transplanted kidney	1	0.12943	0.03474	0.082085	0	58797008	Complication of transplanted kidney (disorder)	1	0.0085	1
996.66	Infection and inflammatory reaction due to internal joint prosthesis	1	0.14903	0.01461	0.08182	0	213121005	Prosthetic joint infection (disorder)	1	0.002	1
162.5	Malignant neoplasm of lower lobe, bronchus or lung	1	0.11888	0.04325	0.081065	0	187870002	Malignant neoplasm of lower lobe of lung (disorder)	1	NULL	0
553.21	Incisional hernia without mention of obstruction or gangrene	1	0.13743	0.02446	0.080945	0	236037000	Incisional hernia (disorder)	1	0.0113	1
154.1	Malignant neoplasm of rectum	1	0.07588	0.08554	0.08071	0	363351006	Malignant tumor of rectum (disorder)	1	NULL	0
585.4	Chronic kidney disease, Stage IV (severe)	1	0.00363	0.15733	0.08048	0	431857002	Chronic kidney disease stage 4 (disorder)	1	0.0137	1
789.01	Abdominal pain, right upper quadrant	1	0.03262	0.12637	0.079495	0	301717006	Right upper quadrant pain (finding)	1	0.0352	1
572.2	Hepatic encephalopathy	1	0.15374	0.00481	0.079275	0	13920009	Hepatic encephalopathy (disorder)	1	0.011	1
721.0	Cervical spondylosis without myelopathy	1	0.07579	0.08218	0.078985	0	267970006	Cervical spondylosis without myelopathy (disorder)	1	0.0136	1
557.9	Unspecified vascular insufficiency of intestine	1	0.15266	0.00396	0.07831	0	82196007	Vascular insufficiency of intestine (disorder)	1	0.0011	1
296.34	Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior	1	0.12212	0.03445	0.078285	0	28475009	Severe recurrent major depression with psychotic features (disorder)	1	0.0068	1
300.00	Anxiety state, unspecified	1	0.03158	0.12421	0.077895	0	198288003	Anxiety state (finding)	1	0.0054	1
786.52	Painful respiration	1	0.05632	0.09942	0.07787	0	75483001	Breathing painful (finding)	1	NULL	0
788.41	Urinary frequency	1	0.00035	0.15531	0.07783	0	162116003	Increased frequency of urination (finding)	1	0.0693	1
404.91	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	1	0.15418	0.00139	0.077785	0	194779001	Hypertensive heart and renal disease with (congestive) heart failure (disorder)	1	0.0018	1
729.81	Swelling of limb	1	0.008	0.14612	0.07706	0	80068009	Swelling of limb (finding)	1	0.0051	1
V10.3	Personal history of malignant neoplasm of breast	1	NULL	0.15384	0.07692	0	415076002	Personal history of primary malignant neoplasm of breast (situation)	1	0.0442	1
401.0	Malignant essential hypertension	1	0.09716	0.0551	0.07613	0	78975002	Malignant essential hypertension (disorder)	1	0.0035	1
402.91	Unspecified hypertensive heart disease with heart failure	1	0.14293	0.00873	0.07583	0	5148006	Hypertensive heart disease with congestive heart failure (disorder)	1	0.0043	1
535.50	Unspecified gastritis and gastroduodenitis, without mention of hemorrhage	1	0.08007	0.07114	0.075605	0	196731005	Gastroduodenitis (disorder)	1	0.007	1
204.10	Chronic lymphoid leukemia, without mention of having achieved remission	1	0.02418	0.12635	0.075265	0	92814006	Chronic lymphoid leukemia, disease (disorder)	1	0.034	1
805.2	Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury	1	0.11766	0.0322	0.07493	0	89825003	Closed fracture of thoracic vertebra without spinal cord injury (disorder)	1	0.0013	1
590.80	Pyelonephritis, unspecified	1	0.1264	0.01762	0.07201	0	45816000	Pyelonephritis (disorder)	1	0.0397	1
788.20	Retention of urine, unspecified	1	0.0186	0.1243	0.07145	0	267064002	Retention of urine (disorder)	1	0.0587	1
414.02	Coronary atherosclerosis of autologous vein bypass graft	1	0.1287	0.01384	0.07127	0	442224005	Arteriosclerosis of autologous vein coronary artery bypass graft (disorder)	1	NULL	0
296.20	Major depressive affective disorder, single episode, unspecified	1	0.10412	0.03832	0.07122	0	36923009	Major depression, single episode (disorder)	1	0.0299	1
268.9	Unspecified vitamin D deficiency	1	0.00035	0.1414	0.070875	0	34713006	Vitamin D deficiency (disorder)	1	0.1025	1
707.03	Pressure ulcer, lower back	1	0.08448	0.05587	0.070175	0	699215008	Pressure ulcer of lower back (disorder)	1	0.001	1
411.1	Intermediate coronary syndrome	1	0.11208	0.02761	0.069845	0	4557003	Preinfarction syndrome (disorder)	1	0.04	1
783.21	Loss of weight	1	0.00415	0.13395	0.06905	0	262285001	Weight decreased (finding)	1	0.0873	1
296.50	Bipolar I disorder, most recent episode (or current) depressed, unspecified	1	0.11096	0.02498	0.06797	0	49468007	Depressed bipolar I disorder (disorder)	1	0.0016	1
453.42	Acute venous embolism and thrombosis of deep vessels of distal lower extremity	1	0.11559	0.02022	0.067905	0	443210003	Deep venous thrombosis of peroneal vein (disorder)	1	NULL	0
782.0	Disturbance of skin sensation	1	0.02933	0.10625	0.06779	0	80910005	Skin sensation disturbance (finding)	1	0.0008	1
291.81	Alcohol withdrawal	1	0.12818	0.00436	0.06627	0	191480000	Alcohol withdrawal syndrome (disorder)	1	0.0074	1
852.21	Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness	1	0.12722	0.00499	0.066105	0	40135004	Subdural hemorrhage following injury without open intracranial wound AND with no loss of consciousness (disorder)	1	NULL	0
295.74	Schizoaffective disorder, chronic with acute exacerbation	1	0.12299	0.00751	0.06525	0	191572009	Acute exacerbation of chronic schizoaffective schizophrenia (disorder)	1	0.0005	1
728.88	Rhabdomyolysis	1	0.12545	0.00389	0.06467	0	240131006	Rhabdomyolysis (disorder)	1	0.0041	1
998.11	Hemorrhage complicating a procedure	1	0.11009	0.01884	0.064465	0	110265006	Postoperative hemorrhage (disorder)	1	0.0009	1
553.3	Diaphragmatic hernia without mention of obstruction or gangrene	1	0.06891	0.05985	0.06438	0	39839004	Diaphragmatic hernia (disorder)	1	0.0021	1
436	Acute, but ill-defined, cerebrovascular disease	1	0.0051	0.12109	0.063095	0	288723005	Acute ill-defined cerebrovascular disease (disorder)	1	0.0019	1
197.7	Malignant neoplasm of liver, secondary	1	0.09902	0.02707	0.063045	0	94381002	Secondary malignant neoplasm of liver (disorder)	1	0.0544	1
